"reference_number","credit_amount","value_date","narration"
"UTR100000","5376.78","20-08-2026","NEFT-MERCH_B2"
"UTR100000","5376.78","20-08-2026","NEFT-MERCH_B2-DUP"
"UTR100001","2273.30","20-08-2026","NEFT-MERCH_D4"
"UTR100002","1919.38","25-08-2026","NEFT-MERCH_B2"
"UTR100003","1450.59","05-08-2026","NEFT-MERCH_B2"
"UTR100004","6523.06","13-08-2026","NEFT-MERCH_B2"
"UTR100005","9514.23","20-08-2026","NEFT-MERCH_D4"
"UTR100006","469.99","19-08-2026","NEFT-MERCH_D4"
"UTR100007","7907.28","05-08-2026","NEFT-MERCH_B2"
"UTR100008","6350.66","21-08-2026","NEFT-MERCH_A1"
"UTR100009","9628.62","04-08-2026","NEFT-MERCH_B2"
"UTR100010","5526.82","18-08-2026","NEFT-MERCH_C3"
"UTR100012","795.49","23-08-2026","NEFT-MERCH_B2"
"UTR100013","2978.09","02-08-2026","NEFT-MERCH_D4"
"UTR100014","2591.79","21-08-2026","NEFT-MERCH_B2"
"UTR100015","1237.56","04-08-2026","NEFT-MERCH_D4"
"UTR100016","2986.51","08-08-2026","NEFT-MERCH_D4"
"UTR100017","2919.59","03-08-2026","NEFT-MERCH_B2"
"UTR100019","7980.69","18-08-2026","NEFT-MERCH_A1"
"UTR100020","1017.66","03-08-2026","NEFT-MERCH_A1"
"UTR100022","4647.71","17-08-2026","NEFT-MERCH_B2"
"UTR100023","4651.53","06-08-2026","NEFT-MERCH_B2"
"UTR100024","8191.97","02-08-2026","NEFT-MERCH_D4"
"UTR100025","7050.24","22-08-2026","NEFT-MERCH_C3"
"UTR100025","7050.24","22-08-2026","NEFT-MERCH_C3-DUP"
"UTR100026","2910.89","21-08-2026","NEFT-MERCH_A1"
"UTR100027","3667.93","17-08-2026","NEFT-MERCH_B2"
"UTR100028","9787.71","09-08-2026","NEFT-MERCH_B2"
"UTR100029","9213.10","22-08-2026","NEFT-MERCH_B2"
"UTR100030","8040.00","15-08-2026","NEFT-MERCH_B2"
"UTR100031","1341.22","11-08-2026","NEFT-MERCH_C3"
"UTR100032","8870.99","07-08-2026","NEFT-MERCH_D4"
"UTR100033","2971.65","04-08-2026","NEFT-MERCH_A1"
"UTR100034","3043.83","19-08-2026","NEFT-MERCH_C3"
"UTR100035","2613.69","19-08-2026","NEFT-MERCH_D4"
"UTR100036","9854.52","03-08-2026","NEFT-MERCH_B2"
"UTR100037","7140.06","06-08-2026","NEFT-MERCH_D4"
"UTR100038","262.34","24-08-2026","NEFT-MERCH_D4"
"UTR100039","5501.52","07-08-2026","NEFT-MERCH_C3"
"UTR100040","8677.13","07-08-2026","NEFT-MERCH_A1"
"UTR100041","3175.77","04-08-2026","NEFT-MERCH_D4"
"UTR100042","8897.81","13-08-2026","NEFT-MERCH_B2"
"UTR100043","7091.35","23-08-2026","NEFT-MERCH_D4"
"UTR100044","1553.61","13-08-2026","NEFT-MERCH_D4"
"UTR100045","6442.07","12-08-2026","NEFT-MERCH_C3"
"UTR100046","4405.94","22-08-2026","NEFT-MERCH_D4"
"UTR100047","8924.04","01-08-2026","NEFT-MERCH_C3"
"UTR100048","6919.55","01-08-2026","NEFT-MERCH_B2"
"UTR100049","2085.72","10-08-2026","NEFT-MERCH_D4"
"UTR100050","9694.32","12-08-2026","NEFT-MERCH_D4"
"UTR100051","1027.90","23-08-2026","NEFT-MERCH_C3"
"UTR100052","8570.74","07-08-2026","NEFT-MERCH_B2"
"UTR100053","6615.22","07-08-2026","NEFT-MERCH_C3"
"UTR100054","4080.04","07-08-2026","NEFT-MERCH_D4"
"UTR100055","5245.12","25-08-2026","NEFT-MERCH_D4"
"UTR100056","7479.95","17-08-2026","NEFT-MERCH_D4"
"UTR100057","4292.68","16-08-2026","NEFT-MERCH_A1"
"UTR100058","2509.72","08-08-2026","NEFT-MERCH_C3"
"UTR100058","2509.72","08-08-2026","NEFT-MERCH_C3-DUP"
"UTR100059","1569.58","03-08-2026","NEFT-MERCH_C3"
