"utr","settlement_amount","settlement_date","merchant_id","order_id"
"UTR100000","5376.78","2026-08-20","MERCH_B2","ORD10000"
"UTR100001","2273.30","2026-08-20","MERCH_D4","ORD10001"
"UTR100002","1968.59","2026-08-25","MERCH_B2","ORD10002"
"UTR100003","1450.59","2026-08-05","MERCH_B2","ORD10003"
"UTR100004","6523.06","2026-08-11","MERCH_B2","ORD10004"
"UTR100005","9514.23","2026-08-20","MERCH_D4","ORD10005"
"UTR100006","469.99","2026-08-19","MERCH_D4","ORD10006"
"UTR100007","7907.28","2026-08-05","MERCH_B2","ORD10007"
"UTR100008","6350.66","2026-08-21","MERCH_A1","ORD10008"
"UTR100009","9628.62","2026-08-02","MERCH_B2","ORD10009"
"UTR100010","5526.82","2026-08-16","MERCH_C3","ORD10010"
"UTR100011","7600.59","2026-08-12","MERCH_B2","ORD10011"
"UTR100012","795.49","2026-08-23","MERCH_B2","ORD10012"
"UTR100013","2978.09","2026-08-02","MERCH_D4","ORD10013"
"UTR100014","2591.79","2026-08-21","MERCH_B2","ORD10014"
"UTR100015","1237.56","2026-08-04","MERCH_D4","ORD10015"
"UTR100016","2986.51","2026-08-08","MERCH_D4","ORD10016"
"UTR100017","2919.59","2026-08-03","MERCH_B2","ORD10017"
"UTR100018","6605.69","2026-08-08","MERCH_C3","ORD10018"
"UTR100019","7980.69","2026-08-18","MERCH_A1","ORD10019"
"UTR100020","1017.66","2026-08-03","MERCH_A1","ORD10020"
"UTR100021","6738.53","2026-08-04","MERCH_B2","ORD10021"
"UTR100022","4647.71","2026-08-17","MERCH_B2","ORD10022"
"UTR100023","4770.80","2026-08-06","MERCH_B2","ORD10023"
"UTR100024","8191.97","2026-08-02","MERCH_D4","ORD10024"
"UTR100025","7050.24","2026-08-22","MERCH_C3","ORD10025"
"UTR100026","2910.89","2026-08-21","MERCH_A1","ORD10026"
"UTR100027","3667.93","2026-08-17","MERCH_B2","ORD10027"
"UTR100028","9787.71","2026-08-09","MERCH_B2","ORD10028"
"UTR100029","9213.10","2026-08-22","MERCH_B2","ORD10029"
"UTR100030","8040.00","2026-08-15","MERCH_B2","ORD10030"
"UTR100031","1341.22","2026-08-11","MERCH_C3","ORD10031"
"UTR100032","8870.99","2026-08-07","MERCH_D4","ORD10032"
"UTR100033","2971.65","2026-08-04","MERCH_A1","ORD10033"
"UTR100034","3043.83","2026-08-19","MERCH_C3","ORD10034"
"UTR100035","2613.69","2026-08-19","MERCH_D4","ORD10035"
"UTR100036","9854.52","2026-08-03","MERCH_B2","ORD10036"
"UTR100037","7323.14","2026-08-06","MERCH_D4","ORD10037"
"UTR100038","269.07","2026-08-24","MERCH_D4","ORD10038"
"UTR100039","5642.58","2026-08-07","MERCH_C3","ORD10039"
"UTR100040","8677.13","2026-08-07","MERCH_A1","ORD10040"
"UTR100041","3175.77","2026-08-04","MERCH_D4","ORD10041"
"UTR100042","8897.81","2026-08-13","MERCH_B2","ORD10042"
"UTR100043","7091.35","2026-08-23","MERCH_D4","ORD10043"
"UTR100044","1553.61","2026-08-11","MERCH_D4","ORD10044"
"UTR100045","6442.07","2026-08-12","MERCH_C3","ORD10045"
"UTR100046","4405.94","2026-08-22","MERCH_D4","ORD10046"
"UTR100047","8924.04","2026-08-01","MERCH_C3","ORD10047"
"UTR100048","6919.55","2026-08-01","MERCH_B2","ORD10048"
"UTR100049","2085.72","2026-08-10","MERCH_D4","ORD10049"
"UTR100050","9694.32","2026-08-10","MERCH_D4","ORD10050"
"UTR100051","1027.90","2026-08-23","MERCH_C3","ORD10051"
"UTR100052","8570.74","2026-08-07","MERCH_B2","ORD10052"
"UTR100053","6615.22","2026-08-07","MERCH_C3","ORD10053"
"UTR100054","4080.04","2026-08-07","MERCH_D4","ORD10054"
"UTR100055","5245.12","2026-08-25","MERCH_D4","ORD10055"
"UTR100056","7671.74","2026-08-17","MERCH_D4","ORD10056"
"UTR100057","4292.68","2026-08-16","MERCH_A1","ORD10057"
"UTR100058","2509.72","2026-08-08","MERCH_C3","ORD10058"
"UTR100059","1569.58","2026-08-01","MERCH_C3","ORD10059"
